total_inc,Black_inc,Asian_inc,Hispanic_inc,NH_White_inc,year,Rent,All,Black,Asian,Hispanic,NH_White
34440,29480,54157,31908,54143,2015,1101.0517354154695,861.0,737.0,1353.925,797.6999999999999,1353.575
35781,30338,56250,32955,56525,2016,1167.3538689648296,894.525,758.4499999999999,1406.25,823.875,1413.125
35781,30338,56250,32955,56525,2016,1167.3538689648296,894.525,758.4499999999999,1406.25,823.875,1413.125
37550,31925,59466,35209,58992,2017,1233.8202897314059,938.75,798.125,1486.6499999999999,880.2249999999999,1474.8
40343,33538,63263,38562,62770,2018,1279.6702219808035,1008.5749999999999,838.4499999999999,1581.5749999999998,964.0500000000001,1569.25
42821,35893,67834,41170,66321,2019,1328.4496701605058,1070.5249999999999,897.3249999999999,1695.8500000000001,1029.25,1658.0249999999999
45047,38362,70232,43309,69168,2020,1344.6177425072822,1126.175,959.0500000000001,1755.8,1082.725,1729.1999999999998
47349,40141,72417,45624,71118,2021,1463.5093461267843,1183.725,1003.525,1810.425,1140.6,1777.9499999999998
51617,43144,81010,50052,76706,2022,1660.195816234657,1290.425,1078.6,2025.25,1251.3,1917.6499999999999
57395,48042,85235,53893,80052,2023,1690.5621191977145,1434.875,1201.05,2130.875,1347.325,2001.3
